date,open,pre_close,high,low,volume,amount,turnover_ratio,OT
2018/5/17,3895.49,3892.84,3899.51,3858.85,1608045104,87104163840,0.19,3864.05
2018/5/18,3860.16,3864.05,3903.06,3841.9,-1328538892,96823853056,0.23,3903.06
2018/5/21,3925.54,3903.06,3937.46,3913.6,674239208,1.20529E+11,0.29,3921.24
2018/5/22,3918.82,3921.24,3918.82,3881.17,-1053056792,1.02883E+11,0.24,3906.21
2018/5/23,3898.27,3906.21,3898.27,3854.58,-217702692,1.10685E+11,0.26,3854.58
2018/5/24,3853.29,3854.58,3859.1,3823.92,-1755432492,93408219136,0.21,3827.22
2018/5/25,3823.74,3827.22,3841.12,3804.13,-1506296092,95667544064,0.22,3816.5
2018/5/28,3816.26,3816.5,3846.55,3799.32,-1437821392,1.00002E+11,0.22,3833.26
2018/5/29,3824.19,3833.26,3841.78,3800.67,-434668292,1.17289E+11,0.26,3804.01
2018/5/30,3755.18,3804.01,3767.89,3722.07,201393908,1.15859E+11,0.28,3723.37
2018/5/31,3749.3,3723.37,3804.79,3742.53,676754908,1.30545E+11,0.29,3802.38
2018/6/1,3789.67,3802.38,3802.54,3753.84,-807753192,1.05935E+11,0.24,3770.59
2018/6/4,3785.19,3770.59,3813.41,3776.62,-927500592,1.15146E+11,0.24,3807.58
2018/6/5,3811.29,3807.58,3845.56,3800.93,-721198592,1.21261E+11,0.25,3845.32
2018/6/6,3839.68,3845.32,3848.33,3830.9,-1278210792,1.07142E+11,0.23,3837.35
2018/6/7,3846.94,3837.35,3859.85,3827.69,-564319992,1.12366E+11,0.25,3831.01
2018/6/8,3819.45,3831.01,3819.46,3759.27,-256200992,1.07819E+11,0.26,3779.62
2018/6/11,3770.21,3779.62,3792.55,3756.51,-1718951192,1.05598E+11,0.22,3779.98
2018/6/12,3783.19,3779.98,3830.47,3765.26,-1269310192,1.16217E+11,0.23,3825.95
2018/6/13,3814.62,3825.95,3817.45,3782.07,-1952137492,97185497088,0.21,3788.34
2018/6/14,3774.64,3788.34,3808.16,3759.25,-1742802392,99234013184,0.21,3773.37
2018/6/15,3763.04,3773.37,3780.34,3737.43,-41045292,1.09535E+11,0.27,3753.43
2018/6/19,3702.67,3753.43,3712.82,3583.02,-1109214984,1.93849E+11,0.5,3621.12
2018/6/20,3602.55,3621.12,3649.34,3578.17,81875208,1.12805E+11,0.27,3635.44
2018/6/21,3633.56,3635.44,3673.56,3589.49,800920608,1.15584E+11,0.29,3592.97
2018/6/22,3567.89,3592.97,3609.08,3542.46,-1078148092,89687281664,0.24,3608.9
2018/6/25,3625.8,3608.9,3631.03,3559.03,-602226692,1.0669E+11,0.25,3560.48
2018/6/26,3521.59,3560.48,3541.78,3478.21,-91407592,1.08132E+11,0.27,3531.11
2018/6/27,3525.13,3531.11,3537.66,3441.79,-440752892,1.07629E+11,0.26,3459.26
2018/6/28,3434.94,3459.26,3477.06,3416.95,-998129392,98570526720,0.24,3423.53
2018/6/29,3431.96,3423.53,3512.38,3425.22,-864231392,97616367616,0.24,3510.98
2018/7/2,3504.46,3510.98,3506.9,3383.5,-154789592,1.07602E+11,0.26,3407.96
2018/7/3,3410.48,3407.96,3422.04,3319.29,937934608,1.29898E+11,0.3,3409.28
2018/7/4,3398.78,3409.28,3418.33,3359.09,-1074134792,93648560128,0.24,3363.75
2018/7/5,3365.55,3363.75,3398.49,3330.71,-431136492,97544617984,0.26,3342.44
2018/7/6,3347.06,3342.44,3396.25,3295.73,19823408,1.09482E+11,0.27,3365.12
2018/7/9,3378.91,3365.12,3459.32,3378.91,-929779992,1.00919E+11,0.24,3459.18
2018/7/10,3464.91,3459.18,3474.14,3437.27,-1635052292,90127446016,0.22,3467.52
2018/7/11,3398.93,3467.52,3427.57,3375.14,-1385839592,89661505536,0.23,3407.53
2018/7/12,3403.33,3407.53,3499.1,3403.33,1045421808,1.17806E+11,0.3,3481.06
2018/7/13,3488.5,3481.06,3499.76,3474.91,-1294344992,99800186880,0.23,3492.69
2018/7/16,3488.97,3492.69,3506.24,3459.73,-1761734692,90754289664,0.21,3472.09
